type,title,cast,release_year,id,duration_type,duration_int,calificacion,califPromedio
movie,the grand seduction,"brendan gleeson, taylor kitsch, gordon pinsent",2014,as1,min,113,5.0,3.5
movie,take care good night,"mahesh manjrekar, abhay mahajan, sachin khedekar",2018,as2,min,110,3.0,3.5
movie,secrets of deception,"tom sizemore, lorenzo lamas, robert lasardo, richard jones, yancey arias, noel gugliemi",2017,as3,min,74,5.0,3.5
movie,pink: staying true,"interviews with: pink, adele, beyoncé, britney spears, christina aguilera, more!",2014,as4,min,69,1.5,3.5
movie,monster maker,"harry dean stanton, kieran o'brien, george costigan, amanda dickinson, alison steadman, grant bardsley, bill moody, matthew scurfield",1989,as5,min,45,5.0,3.5
movie,living with dinosaurs,"gregory chisholm, juliet stevenson, brian henson, michael maloney",1989,as6,min,52,5.0,3.6
movie,hired gun,"alice cooper, liberty devitto, ray parker jr., david foster, jason hook, steve vai, phil x, rudy sarzo, jay graydon, rob zombie, kenny aronoff, steve lukather, justin derrico, eva gardner, john 5, eric singer, derek st. holmes, paul bushnell, jason newsted, glen sobel, nita strauss, chris johnson",2017,as7,min,98,5.0,3.6
movie,grease live!,"julianne hough, aaron tveit, vanessa hudgens, keke palmer, carly rae jepson, mario lopez, carlos penavega, kether donohue, jordan fisher, david del rio, andrew call, wendell pierce, boyz ii men, jessie j, ana gasteyer, didi conn",2016,as8,min,131,4.0,3.5
movie,global meltdown,"michael paré, leanne khol young, patrick j. maceachern",2017,as9,min,87,2.5,3.5
movie,david's mother,"kirstie alley, sam waterston, stockard channing",1994,as10,min,92,4.0,3.4
movie,forest fairies,"emily wilder, adrian cowan, gary mckenzie, jeremy ninaber, brenda somers, brian carleton, lora burke, winny clarke, mercedes morris, rebecca perry, emily agard, graham gauthier",2016,as11,min,88,2.5,3.6
movie,take care,"leslie bibb, kevin curtis, nadia dajani",2014,as12,min,93,3.5,3.6
movie,the night eats the world,"anders danielsen lie, golshifteh farahani, denis lavant, sigrid bouaziz, david kammenos",2018,as13,min,94,4.0,3.5
movie,resilencia,"rafinha alcantara, marc-andré ter stegen, sergi roberto, dr. ramón cugat, mazinho, xavi arruebo, celia ferreira da silva, ángel lapuebla, javier enríquez, thiago alcantara, valeria alcantara",2020,as14,min,46,2.5,3.6
movie,elon musk: the real life iron man,"elon musk, per wimmer, julie anderson-ankenbrandt, cary cooper",2018,as15,min,74,4.0,3.5
movie,summer '03,"joey king, jack kilmer, andrea savage, paul scheer, june squibb, erin darke, stephen ruffin, kelly lamor wilson, logan medina, travis james, bill eudaly, elise duquette",2019,as16,min,96,5.0,3.5
movie,zoombies,"marcus anderson, kaiwi lyman, andrew asper",2016,as17,min,87,5.0,3.5
tv show,zoo babies,narrator - gillian barlett,2008,as18,season,1,3.0,3.6
tv show,zoë coombs marr: bossy bottom,zoë coombs marr,2020,as19,season,1,3.5,3.5
movie,zoe,"ewan mcgregor, léa seydoux, theo james, miranda otto, rashida jones, christina aguilera, matthew gray gubler, anthony shim",2018,as20,min,104,5.0,3.6
tv show,zoboomafoo,,2001,as21,season,1,5.0,3.5
tv show,zo zo zombie: mini-series,"alex cazares, ben diskin, cristina vee, erika ishii",2020,as22,season,1,3.0,3.4
movie,zis boom bah,"grace hayes, mary healy",1941,as23,min,62,4.0,3.6
tv show,zerozerozero,"andrea riseborough, harold torres, claudia pineda, tcheky karyo, giuseppe de domenico, gabriel byrne, dane dehaan, adriano chiaramida",2020,as24,season,1,3.0,3.5
movie,zandalee,"nicolas cage, judge reinhold, erika anderson, joe pantoliano, viveca lindfors, aaron neville, steve buscemi, ian abercrombie, marisa tomei, jo-el sonnier, newell alexander, blaise delacroix, eliott keener, richard greenberg, john cutler, thomas iain",1991,as25,min,94,5.0,3.6
movie,zambezi: force of life,,2005,as26,min,50,1.0,3.5
tv show,zahara: the return,"natasha heschélle, curtis morgan, hannah scott, dennis nimoh, christine nguyen",2020,as27,season,1,2.5,3.4
tv show,z: the beginning of everything,"christina ricci  , david hoflin",2017,as28,season,1,4.0,3.6
tv show,yu-gi-oh! zexal,"eli jay, marc thompson, sean schemmel, eileen stevens",2015,as29,seasons,3,4.0,3.4
tv show,yu-gi-oh! arc-v,"michael liscio jr., emily bauer",2018,as30,seasons,3,4.5,3.6
tv show,yu-gi-oh! 5d's,"gregory abbey, bella hudson, ed paul",2011,as31,seasons,2,3.0,3.5
tv show,your bleeped up brain,"dobrokhotova ekaterina, mike new",2013,as32,season,1,4.0,3.6
movie,young lovers,"sally forrest, keefe brasselle, hugh o'brian, eve miller, lawrence dobkin, rita lupino",1949,as33,min,86,3.0,3.5
movie,young love (at the sun factory),,2007,as34,min,36,3.0,3.5
movie,young love (at bowery ballroom),,2007,as35,min,37,4.0,3.6
tv show,young lions,"alex dimitriades, alexandra davies, tom long, anna lise phillips, katherine slattery, penny cook, amie mckenna, socratis otto, anna torv, john waters, maya stange, jackson purtan-smith, george anakotta",2002,as36,season,1,4.0,3.6
movie,you're not you,"hilary swank, emmy rossum, josh duhamel",2015,as37,min,103,1.5,3.5
movie,"you, me and him","david tennant, lucy punch, faye marsay, gemma jones",2017,as38,min,98,4.0,3.5
movie,yoga with sound meditations,ann-marie newland,2016,as39,min,9,2.0,3.5
movie,yoga to harness your chakra energy,caroline shola arewa,2014,as40,min,18,2.0,3.5
movie,yoga to ease flight anxiety,anne-marie newland,2016,as41,min,14,4.0,3.5
movie,yoga to break any habit,dr daniel j nightingale,2014,as42,min,20,4.0,3.5
tv show,"yoga therapy for back pain, neck pain & stress relief - lindsey samper",lindsey samper,2018,as43,season,1,4.5,3.6
movie,yoga savasana relaxation,anne-marie newland,2014,as44,min,19,3.5,3.5
movie,yoga for relaxation anywhere,anne-marie newland,2014,as45,min,18,4.5,3.5
movie,yoga for relaxation and stress relief anywhere,anne-marie newland,2014,as46,min,20,3.5,3.5
movie,yoga for relaxation and stress relief,anne-marie newland,2014,as47,min,20,3.0,3.5
movie,yoga for mindfulness and meditation,anne-marie newland,2016,as48,min,22,2.5,3.4
movie,yoga for men's health,anne-marie newland,2016,as49,min,60,3.5,3.6
movie,yoga for breath awareness,anne-marie newland,2016,as50,min,6,4.0,3.5
movie,yoga for beginners,anne-marie newland,2016,as51,min,54,4.0,3.5
movie,yoga for abdominal breathing,anne-marie newland,2019,as52,min,5,3.0,3.5
movie,yellowneck,"lin mccarthy, stephen courtleigh, berry kroeger, harold gordon, bill mason",1955,as53,min,84,3.0,3.6
tv show,yearly departed,"phoebe robinson, rachel brosnahan, tiffany haddish, patti harrison, natasha leggero, natasha rothwell, sarah silverman, ziwe, christina aguilera, sterling k brown",2020,as54,season,1,2.5,3.5
movie,yatra (telugu),"mammootty, suhasini maniratnam",2019,as55,min,126,3.5,3.6
movie,yatra (malayalam),"mammootty, suhasini maniratnam",2019,as56,min,125,4.0,3.6
tv show,yancy derringer,"jock mahoney, x brands, kevin hagen, framces bergen, charlene james, joan taylor, charles bronson, margaret hayes, kelly thordsen, particia blair",1959,as57,season,1,3.5,3.5
tv show,xploration earth 2050,chuck pell,2017,as58,seasons,2,4.0,3.5
tv show,xiaolin chronicles,"tara strong, jennifer hale, eric bauza, david kaye, michael donovan, cree summer",2015,as59,season,1,5.0,3.5
movie,xchange,"stephen baldwin, pascale bussières, kim coates, kyle maclachlan, tom rack",2001,as60,min,109,4.5,3.5
movie,x-ray,"barbi benton, chip lucia",1983,as61,min,89,3.5,3.5
tv show,wwii in hd,"gary sinise, charles scheffel",2009,as62,season,1,2.5,3.5
movie,wrangler: anatomy of an icon,"jack wrangler, margaret whiting, marc shaiman, bruce vilanch, christine ebersole, michael musto, chi chi la rue, sharon mitchell, jamie gillis, candida royalle, samantha fox, gloria leonard",2008,as63,min,85,2.0,3.5
tv show,wpc 56,"wpc annie taylor, charles de'ath, olly rix, james barriscale, rachel leskovac, liam jeavons, mark healy",2015,as64,seasons,3,4.5,3.5
tv show,would i lie to you?,"david mitchell, lee mack, rob brydon",2009,as65,season,1,5.0,3.6
tv show,wotakoi: love is hard for otaku,"arisa date, kent ito, miyuki sawashiro, tomokazu sugita, yuki kaji",2018,as66,season,1,3.5,3.5
tv show,world’s toughest race: eco-challenge fiji,bear grylls,2020,as67,season,1,5.0,3.6
tv show,world war ii: when lions roared,"michael caine, john lithgow, bob hoskins",1994,as68,season,1,3.0,3.5
movie,world war ii: saving the reality,dan aykroyd,2012,as69,min,56,3.0,3.6
tv show,world war 2 - the call of duty: a complete timeline,liam dale,2020,as70,season,1,5.0,3.5
movie,world inferno friendship society,,2007,as71,min,40,3.5,3.5
tv show,world food championships,tiffany derry,2014,as72,season,1,4.0,3.5
tv show,wordworld,,2007,as73,season,1,3.0,3.5
movie,words on bathroom walls,"charlie plummer, taylor russell, andy garcia, annasophia robb, beth grant, devin bostick, lobo sebastian, molly parker, walton goggins",2020,as74,min,111,4.0,3.6
tv show,wordgirl,,2010,as75,season,1,4.0,3.5
tv show,wonders of mexico,anthony mendez,2018,as76,season,1,3.0,3.5
movie,wonderful nursery rhymes with mia - little baby bum,,2019,as77,min,33,4.0,3.6
movie,wonderful nursery rhymes with jacus - by little baby bum,,2019,as78,min,34,3.5,3.5
tv show,wonder balls,,2015,as79,season,1,2.0,3.6
movie,women of valor,"susan sarandon, kristy mcnichol, terry o'quinn",1986,as80,min,95,2.0,3.6
movie,woman of desire,"jeff fahey, bo derek",1994,as81,min,99,3.0,3.6
movie,woke up like this,"vhong navarro, lovi poe",2017,as82,min,104,4.5,3.5
movie,"wizard of loneliness, the","lukas haas, lea thompson",1988,as83,min,111,4.0,3.5
movie,within our gates,"evelyn preer, flo clements",1920,as84,min,78,3.0,3.6
tv show,wishenpoof,"addison holley, hope cassandra, scott mccord, katie griffin, ethan tavares, devan cohen, roanna cochrane, millie davis, jason priestley, saara chaudry, kyle lomas, ava priestley, johnny orlando, kathy laskey, matthew macfadzean, tj mcgibbon, elizabeth hanna, caissie levy, ava close, nissae isen, jeff geddis, kristin fairlie",2019,as85,seasons,4,3.5,3.5
tv show,wisconsin unexplained,michael butt,2018,as86,season,1,3.0,3.5
tv show,wipeout canada,"ennis esmer, jonathan torrens, jessica phillips",2011,as87,season,1,5.0,3.7
tv show,wipeout australia,"james brayshaw, josh lawson, kelly landry",2009,as88,season,1,1.5,3.5
movie,winterset,"burgess meredith, eduordo ciannelli",1936,as89,min,77,3.5,3.5
movie,winds of the wasteland,"john wayne, phyllis fraser, lew kelly, douglas cosgrove, lane chandler, sam flint, bob kortman, ed cassidy, jon hall, merrill mccormick, christian j. frank, jack rockwell, arthur millett, tracy layne, yakima canutt, horace b. carpenter, herman hack, henry hall, lloyd ingraham, jack ingram, cliff lyons, murdock macquarrie, clyde mcclary, bud mcclure, art mix, george morrell, bud pope, francis walker, joe yrigoyen",1936,as90,min,55,5.0,3.5
movie,wind,"matthew modine, jennifer grey, cliff robertson, jack thompson, stellan skarsgård, rebecca miller, ned vaughn, james rebhorn, ron palillo",1992,as91,min,126,4.5,3.6
movie,william the conqueror,,2015,as92,min,53,4.0,3.6
movie,william tecumseh sherman: beyond the march to the sea,jonathan chase cook,2019,as93,min,115,3.5,3.4
movie,william lee martin: the nutcracker - a christmas stand-up comedy spectacular,william lee martin,2019,as94,min,55,3.5,3.6
movie,william lee martin: standing in the middle,william lee martin,2019,as95,min,58,5.0,3.6
movie,william and kate: into the future,"prince william, kate middleton",2011,as96,min,49,1.5,3.5
movie,wildlike,"bruce greenwood, ella purnell, brian geraghty",2021,as97,min,104,2.5,3.5
movie,wildfire 7,"tracey gold, alexander walters",2002,as98,min,95,4.0,3.5
tv show,wildest places,,2019,as99,seasons,3,2.0,3.5
movie,wilder napalm,"debra winger, dennis quaid, arliss howard, m. emmet walsh, jim varney",1993,as100,min,109,2.0,3.6
tv show,wild north,,2014,as101,season,1,4.5,3.5
tv show,wild kratts,"chris kratt, martin kratt, athena karkanis, jonathan malen, heather bambrick, zachary bennett, eva almos, cory doran, gavin kratt, aidan kratt, ronan kratt, addison holley, maya lowe, paige roughely, emilia mccarthy, zoe fraser, rachel marcus, nolan kratt, julie lemieux, amariah faulkner, christian martyn, jacob ewaniuk, jaclyn forbes, ian hanson, aiden kratt, charles vandervaart, jenna warren",2011,as102,season,1,4.0,3.4
movie,wild geese,"richard burton, roger moore, richard harris",2012,as103,min,135,3.5,3.6
movie,wild colombia revealed,,2016,as104,min,91,5.0,3.5
tv show,wild boys,"daniel macpherson, michael dorman, alexander england, zoe ventoura, anna hutchison, jeremy sims, nathaniel dean, david field, caroline brazier, krew boylan",2011,as105,season,1,3.0,3.6
movie,why we fight,"gore vidal, john mccain, ken adelman",2006,as106,min,99,4.0,3.5
tv show,why i ran,,2008,as107,season,1,4.0,3.6
movie,whoop!,abish mathew,2018,as108,min,64,5.0,3.6
movie,who wrote the new testament?,,2016,as109,min,131,3.0,3.6
movie,who put the klan into ku klux klan,neil oliver,2018,as110,min,59,4.0,3.5
movie,who killed doc robin,,1948,as111,min,52,5.0,3.5
movie,whitney cummings: money shot,whitney cummings,2010,as112,min,48,2.0,3.6
tv show,whitechapel,"rupert penry-jones, phil davis, steve pemberton, claire rushbrook",2013,as113,seasons,4,3.0,3.5
movie,white tiger,"aleksey vertkov, vitaliy kishchenko, valeriy grishko",2021,as114,min,109,4.0,3.5
movie,white savior: racism in the american church,ashe jaafaru,2019,as115,min,62,5.0,3.5
tv show,white dragon,"john simm, anthony wang, emilia fox, katie leung, anthony hayes, tim mcinnerny, tom wu, kae alexander, jason wong, thomas chaanhing, ryan mcken, magdalene bird, max keeble, elliott brough, nick reed, david keeling, rosalind halstead, john moraitis, nicholas bailey, christophe r. tek, chike chan, arthur lee, daniel york, tony ho, orion lee",2019,as116,season,1,3.0,3.6
movie,whistle stop,"ava gardner, george raft, victor mclaglen, tom conway, jorja curtright",1946,as117,min,84,5.0,3.6
movie,where love found me,"kaitlin cheung, andrew cheney, james kyson, brian fong, jennifer klekas, max mendoza, marcus natividad, ronnie lazaro, madeleine nicolas",2018,as118,min,85,2.0,3.5
movie,where is chicky? - chapter two,,2019,as119,min,22,5.0,3.6
movie,where is chicky? - chapter three,,2019,as120,min,22,4.5,3.4
movie,where is chicky? - chapter one,,2019,as121,min,22,3.0,3.5
movie,where is chicky? - chapter four,,2019,as122,min,22,4.5,3.5
movie,where hands touch,"amandla stenberg, george mckay, abbie cornish",2019,as123,min,122,5.0,3.4
movie,when the lights go on again,"james lydon, barbara belden, regis toomey, george cleveland, warren mills, jill browning",1944,as124,min,103,2.0,3.4
movie,when in your reflection,"clara de la rúa, victoria isabella villa, marta tricerri",2019,as125,min,9,4.0,3.5
movie,when did you last see your father?,"jim broadbent, colin firth, gina mckee",2008,as126,min,92,5.0,3.5
movie,when a woman loves a man,"j. wells jr., tina christine, dani coleman, jeffrey creightney, kemuel crossty",2019,as127,min,90,3.0,3.6
movie,whatever father,"hassam, carlos ramírez, bebsabe duque",2018,as128,min,102,4.0,3.5
tv show,what's up in space: the solar system for kids,,2010,as129,season,1,4.0,3.5
tv show,what's my line?,john daly,1955,as130,season,1,3.0,3.5
tv show,what went wrong: countdown to catastrophe,john young,2019,as131,season,1,4.5,3.6
tv show,what the constitution means to me,"heidi schreck, mike iveson, rosdely ciprian, thursday williams",2020,as132,season,1,3.0,3.6
movie,what price crime,"charles starrett, noel madison, virginia cherrill, charles delaney, jack mulhall, nina guilbert, henry roquemore",1935,as133,min,65,2.5,3.5
movie,what comes around,"barry corbin, cherie elledge-grapes, buck ford, leonard p. geer, john c. hill, bo hopkins, arte johnson, jerry reed",1985,as134,min,114,4.0,3.5
tv show,wgc-dell technologies match play reveal show,,2021,as135,season,1,1.5,3.5
movie,western gold,"smith ballew, heather angel, leroy mason, howard p. hickman, ben alexander",1937,as136,min,56,3.0,3.5
movie,west of nevada,"rex bell, joan barclay",1936,as137,min,59,2.5,3.6
tv show,wendy,"christa clahane, abbe hoekstra, zena drive, kyle orzeck",2016,as138,season,1,4.0,3.4
tv show,welliewishers,,2017,as139,seasons,2,4.0,3.7
movie,welcome to the space show (english dub),"keiji fujiwara, michael sinterniklaas",2011,as140,min,136,3.0,3.7
tv show,welcome to the ballroom,shinba tsuchiya | ayane sakura | nobuhiko okamoto | kentaro tomita | sumire morohoshi,2017,as141,season,1,2.5,3.5
movie,welcome to kutsher's: the last catskills resort,"freddie roman, mark kutsher, helen kutsher, larry strickler, celia duffy, krazy tyrone",2015,as142,min,70,3.0,3.5
movie,wedding cha shinema,"shivraj waichal, rucha inamdar, mukta barve, purnima ahire, adesh aware",2019,as143,min,138,3.0,3.6
movie,we'll take manhattan,"frances barber, aneurin barnard, fiona button",2012,as144,min,89,1.0,3.5
movie,we need to talk about kevin,"tilda swinton, john c. reilly, ezra miller",2012,as145,min,113,4.0,3.6
tv show,wayne (4k uhd),"mark mckenna, ciara bravo, jon champagne",2019,as146,season,1,5.0,3.5
movie,watermelon man,"godfrey cambridge, estelle parsons, howard caine",1970,as147,min,100,4.0,3.6
movie,waterfalls for sleep 8 hours,,2016,as148,min,480,2.0,3.5
movie,water (short),,2017,as149,min,4,2.0,3.5
tv show,watch the game like never before with x-ray,,2020,as150,season,1,3.0,3.6
movie,wash your hands & more classic kids songs - kiiyii,,2020,as151,min,30,1.5,3.5
movie,war of likes,"ludwika paleta, regina blandón, manolo cardona, michelle rodríguez, loreto peralta, mauricio “diablito” barrientos, catalina lópez, patricia bernal, héctor jiménez, siouzanna melikián, paulette hernández, pamela cortés, josé sefami, pablo cruz, elsa ortíz, enrique olvera, miguel bosé",2021,as152,min,104,5.0,3.6
movie,war comes to america,"dean acheson, general bergeret",1945,as153,min,65,3.0,3.5
movie,war (telugu),"hrithik roshan, tiger shroff, vaani kapoor, ashutosh rana, anupriya goenka, yash raaj singh, mashhoor amrohi, sanjeev vatsa, soni razdan, dipannita sharma, arif zakaria, amit gaur",2019,as154,min,152,4.0,3.5
movie,war (tamil),"hrithik roshan, tiger shroff, vaani kapoor, ashutosh rana, anupriya goenka, yash raaj singh, mashhoor amrohi, sanjeev vatsa, soni razdan, dipannita sharma, arif zakaria, amit gaur",2019,as155,min,152,4.0,3.5
movie,walter williams: suffer no fools,"walter williams, thomas sowell, charles murray, shelby steele, larry elder, douglas h. ginsburg, jack hirshleifer, manny klausner, thomas c. rustici, willette klausner, steve javie",2014,as156,min,55,3.5,3.6
movie,walter,"andrew j. west, peter facinelli, virginia madsen, william h. macy",2015,as157,min,86,1.0,3.5
tv show,wallace & gromit's cracking contraptions,peter sallis,2002,as158,season,1,5.0,3.5
tv show,wallace & gromit: the complete collection,peter sallis,2008,as159,season,1,4.0,3.5
movie,wallaby jim of the islands,"george houston, ruth coleman, douglas walton, wilhelm von brincken, mamo clark, colin campbell, syd saydor",1937,as160,min,68,2.0,3.6
movie,wall street cowboy,"roy rogers, george ""gabby"" hayes, raymond hatton, ann baldwin, pierre watkin, craig reynolds, louisiana lou, ivan miller, reginald barlow",1939,as161,min,57,3.0,3.5
movie,walkaway joe,"jeffrey dean morgan, david strathairn, julian feder, julie ann emery",2020,as162,min,89,3.0,3.5
tv show,wake in fright,"sean keenan, alex dimitriades, caren pistorius, gary sweet, anna samson, lee jones, jada alberts",2017,as163,season,1,3.0,3.4
tv show,wakaalat from home,"sumeet vyas, nidhi singh, kubbra sait, gopal datt, anuvab pal, rit bahadur bayalkoti, dipesh bhujal, akarsh khurana, shifu - cat",2020,as164,season,1,2.0,3.5
movie,waiting on mary,"brian shea, emilee dupre', ned averill-snell, bob devin jones, bonnie agan, jim wicker, matt lunsford",2016,as165,min,77,4.5,3.5
movie,waiting for you,"colin morgan, fanny ardant, abdelkrim bahloul, clare holman",2018,as166,min,92,4.0,3.6
movie,waiting for lightning,"danny way, tony hawk, rob dyrdek, travis pastrana, laird john hamilton, paul rodriguez jr.",2012,as167,min,96,5.0,3.5
movie,waiting for anya,"noah schnapp, thomas kretschmann, frederick schmidt, anjelica huston, jean reno",2020,as168,min,109,4.0,3.5
movie,wait for your laugh,"rose marie, carl reiner, dick van dyke, dan harmon",2018,as169,min,85,4.0,3.5
tv show,wahlburgers,"mark wahlberg, donnie wahlberg, paul wahlberg",2017,as170,seasons,7,2.0,3.6
tv show,waco: madman or messiah,,2018,as171,season,1,3.0,3.5
tv show,voyage of the continents,,2013,as172,season,1,2.0,3.5
movie,voyage into space,"akio ito, kaneko mitsundbu",1970,as173,min,98,4.0,3.5
movie,vows of deception,"cheryl ladd, nick manusco, nancy cartwright, vyto ruginis, mike farrell, cady huffman",1996,as174,min,94,3.0,3.5
movie,volcano: fire on the mountain,"dan cortese, cynthia gibb, brian kerwin",1997,as175,min,88,2.0,3.6
movie,voice from the stone,"emilia clarke, marton csokas, caterina murino, remo girone",2017,as176,min,90,5.0,3.5
tv show,vocabulary and numbers with harry the bunny and friends,,2018,as177,seasons,2,5.0,3.5
movie,vocabularry,,2012,as178,min,31,5.0,3.6
movie,viswasam,"ajith kumar, nayanthara",2019,as179,min,151,2.5,3.6
movie,visit to a chief's son,"richard mulligan, johnny sekka",1974,as180,min,92,4.0,3.6
movie,virus,"revathy, kunchako boban, parvathy thiruvoth",2019,as181,min,149,4.5,3.6
movie,virginia,"jennifer connelly, emma roberts, ed harris, carrie preston",2012,as182,min,111,4.5,3.5
movie,violets are blue,"sissy spacek, kevin kline, bonnie bedelia",1986,as183,min,86,4.0,3.5
tv show,vinland saga,"shizuka ishigami, yuto uemura, kenichiro matsuda, naoya uchida, kensho ono",2019,as184,season,1,5.0,3.5
movie,vinci da,"rudranil ghosh, ritwick chakraborty, sohini sarkar, anirban bhattacharya, riddhi sen",2019,as185,min,113,5.0,3.5
tv show,vikings,"alex høgh, alexander ludwig, jasper pääkkönen",2020,as186,seasons,9,3.0,3.5
